cgpa,aptitude,communication,internship,training,coding,projects,placed
7.03,1,1,1,1,0,2,1
4.97,2,2,0,0,3,0,1
4.78,2,2,0,0,1,3,1
9.1,3,0,0,0,3,1,1
6.89,2,0,0,1,1,1,1
8.32,0,1,0,1,0,1,1
4.77,0,0,0,0,3,1,0
5.36,3,0,1,0,1,2,1
8.68,2,0,1,1,2,3,1
4.77,0,2,1,0,2,2,1
6.48,3,1,0,0,0,3,1
5.79,0,0,0,0,1,2,0
8.1,2,3,0,0,3,3,1
8.13,1,1,1,1,2,3,1
5.34,1,1,1,0,1,1,0
5.61,2,2,1,1,2,1,1
9.52,3,2,1,1,0,0,1
7.19,1,2,1,0,0,3,1
7.34,1,1,1,0,2,2,1
4.32,3,0,0,1,0,3,1
4.13,1,0,0,0,0,2,0
9.05,3,1,1,1,0,0,1
4.06,0,2,0,0,2,1,0
6.95,3,2,1,0,3,3,1
9.18,2,1,0,0,1,2,1
8.07,0,0,1,1,0,1,1
5.42,0,2,0,1,1,2,1
5.54,3,2,0,1,0,3,1
5.03,1,3,1,0,2,0,1
8.92,1,0,1,0,3,1,1
9.48,0,3,0,0,1,3,1
4.53,2,0,0,0,0,3,0
5.01,1,1,1,0,3,2,1
7.12,0,2,1,0,2,3,1
8.72,2,2,0,1,2,1,1
9.45,1,3,0,1,0,1,1
4.73,2,2,0,0,3,3,1
7.52,0,2,0,0,3,0,1
6.51,2,1,0,1,2,3,1
6.39,0,1,0,1,1,3,1
8.09,1,0,0,1,0,2,1
7.96,2,3,1,1,1,3,1
4.47,0,2,0,1,2,1,0
4.19,0,2,1,1,3,1,1
7.23,0,2,0,1,1,3,1
6.76,0,0,1,0,1,2,1
6.51,0,1,0,1,0,2,0
9.36,3,2,0,1,3,3,1
9.94,3,1,0,0,2,0,1
4.69,2,2,0,0,0,3,1
5.96,0,0,0,1,3,2,1
9.43,3,2,0,1,3,1,1
4.85,3,3,1,0,3,0,1
6.85,0,3,1,1,3,2,1
5.23,1,2,1,1,2,3,1
9.44,1,3,1,1,1,0,1
7.98,1,3,1,1,3,2,1
8.51,2,0,0,0,0,2,1
9.65,0,2,0,1,1,2,1
5.48,3,1,1,1,2,2,1
8.2,3,3,1,0,2,0,1
7.92,3,3,0,1,0,1,1
7.36,3,3,1,0,3,3,1
8.17,1,2,0,1,2,0,1
4.19,2,3,0,0,2,2,1
5.17,2,1,0,0,1,1,0
9.1,2,3,1,1,0,1,1
6.12,0,2,1,0,1,0,0
7.69,1,0,1,1,3,1,1
4.96,3,0,1,0,3,3,1
9.7,0,0,0,0,0,2,1
8.39,3,0,1,1,3,0,1
4.54,3,2,1,1,0,1,1
9.44,1,2,0,1,0,3,1
4.13,3,0,1,0,3,2,1
7.22,3,1,1,1,0,0,1
7.14,3,2,1,1,3,2,1
8.6,1,3,0,1,2,0,1
9.14,0,0,0,1,3,0,1
4.96,2,0,1,0,2,0,0
7.26,3,3,1,0,2,1,1
8.93,0,3,1,0,3,0,1
6.92,1,2,0,1,2,1,1
4.39,0,2,0,0,2,3,1
4.35,1,1,0,0,1,3,0
4.12,3,1,0,1,3,0,1
4.15,3,1,1,1,1,1,1
